student_name,register_number,department,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,communication_skill,internship,certifications,projects_completed,backlogs,placed
Student_38,REG20260038,Computer Science and Engineering,8.43,97.16,81.46,55,37.0,Poor,,1,2,0,0
Student_39,REG20260039,Mechanical Engineering,6.28,57.9,58.51,89,43.0,Average,Yes,1,4,0,0
Student_40,REG20260040,Electronics and Communication Engineering,7.76,77.3,58.77,91,68.0,Good,No,0,1,1,0
Student_41,REG20260041,Computer Science and Engineering,8.55,62.71,62.39,51,77.0,Good,No,0,4,1,0
Student_42,REG20260042,Electronics and Communication Engineering,5.96,96.74,77.28,52,56.0,Good,No,1,2,1,0
Student_43,REG20260043,Computer Science and Engineering,7.94,59.87,64.2,84,36.0,Good,No,0,1,0,0
Student_44,REG20260044,Artificial Intelligence and Data Science,6.6,72.35,67.18,81,100.0,Poor,No,1,2,0,1
Student_45,REG20260045,Information Technology,9.64,86.73,72.21,78,66.0,Good,No,0,1,1,1
Student_46,REG20260046,Mechanical Engineering,7.58,85.3,89.91,64,50.0,Good,No,1,2,0,0
Student_47,REG20260047,Information Technology,8.97,73.18,55.6,85,35.0,Average,Yes,0,0,0,1
Student_48,REG20260048,Electronics and Communication Engineering,7.87,69.9,82.92,71,82.0,Good,Yes,1,2,0,1
Student_49,REG20260049,Electronics and Communication Engineering,5.69,72.1,83.76,63,84.0,Average,No,0,0,0,0
Student_50,REG20260050,Computer Science and Engineering,8.22,66.36,89.34,87,47.0,Poor,No,0,2,0,0
Student_51,REG20260051,Other,9.59,63.83,95.11,86,49.0,Average,No,0,2,0,0
Student_52,REG20260052,Civil Engineering,8.09,75.77,55.87,83,87.0,Average,No,3,1,0,0
Student_53,REG20260053,Artificial Intelligence and Data Science,9.02,66.55,61.61,48,78.0,Average,No,0,1,0,0
Student_54,REG20260054,Artificial Intelligence and Data Science,9.3,67.36,93.11,79,42.0,Average,No,1,1,0,1
Student_55,REG20260055,Electrical and Electronics Engineering,6.48,83.24,74.72,89,80.0,Good,No,0,2,0,0
Student_56,REG20260056,Artificial Intelligence and Data Science,6.41,96.65,79.28,62,53.0,Good,Yes,0,1,0,0
Student_57,REG20260057,Computer Science and Engineering,8.13,80.96,83.51,89,72.0,Average,No,1,2,0,1
Student_58,REG20260058,Computer Science and Engineering,7.27,58.31,84.2,52,45.0,Poor,Yes,1,1,0,0
Student_59,REG20260059,Computer Science and Engineering,9.11,58.25,95.06,99,77.0,Good,No,3,0,0,1
Student_60,REG20260060,Information Technology,9.37,95.91,97.87,98,54.0,Average,No,3,0,1,0
Student_61,REG20260061,Information Technology,7.02,67.78,85.97,71,54.0,Average,No,2,0,1,0
Student_62,REG20260062,Information Technology,6.52,58.96,67.35,89,55.0,Excellent,No,1,2,0,0
Student_63,REG20260063,Civil Engineering,8.86,80.76,92.83,54,91.0,Good,No,1,4,0,1
Student_64,REG20260064,Information Technology,6.68,81.82,57.12,75,84.0,Excellent,No,0,1,1,0
Student_65,REG20260065,Information Technology,9.04,82.89,64.94,88,60.0,Good,No,3,1,0,1
Student_66,REG20260066,Electronics and Communication Engineering,7.32,66.5,93.59,44,64.0,Average,No,1,0,0,0
Student_67,REG20260067,Computer Science and Engineering,8.37,55.65,66.02,61,65.0,Good,No,1,2,0,0
Student_68,REG20260068,Civil Engineering,5.91,96.5,64.49,55,76.0,Average,No,0,0,0,0
Student_69,REG20260069,Computer Science and Engineering,8.18,65.79,60.94,80,95.0,Average,Yes,0,2,0,1
Student_70,REG20260070,Other,7.44,84.07,91.94,49,95.0,,No,3,3,3,0
Student_71,REG20260071,Civil Engineering,8.02,85.39,76.5,63,51.0,Good,No,0,0,2,0
Student_72,REG20260072,Computer Science and Engineering,6.22,81.23,84.02,57,53.0,Average,No,1,2,0,0
Student_73,REG20260073,Computer Science and Engineering,8.67,68.46,65.28,88,85.0,Excellent,No,0,0,0,1
Student_74,REG20260074,Civil Engineering,9.21,66.66,87.6,57,97.0,Excellent,No,2,1,0,1
Student_75,REG20260075,Mechanical Engineering,6.43,80.7,87.68,46,64.0,Good,No,0,0,0,0
Student_76,REG20260076,Mechanical Engineering,5.91,92.24,68.44,43,59.0,Good,No,2,1,0,0
Student_77,REG20260077,Civil Engineering,5.6,95.71,72.66,65,60.0,Good,No,0,0,0,0
Student_78,REG20260078,Computer Science and Engineering,8.26,59.55,64.02,44,90.0,Good,Yes,2,1,0,1
Student_79,REG20260079,Information Technology,8.11,61.66,96.99,99,56.0,Average,No,1,1,0,0
Student_80,REG20260080,Computer Science and Engineering,7.85,95.62,82.76,94,53.0,Good,Yes,0,1,0,1
Student_81,REG20260081,Artificial Intelligence and Data Science,6.5,86.67,95.19,55,65.0,Good,Yes,1,2,3,0
Student_82,REG20260082,Electrical and Electronics Engineering,7.18,92.97,68.05,74,60.0,Excellent,No,0,3,0,0
Student_83,REG20260083,Information Technology,8.06,63.71,88.62,65,76.0,Good,Yes,0,1,3,0
Student_84,REG20260084,Computer Science and Engineering,7.64,80.27,87.93,57,75.0,Good,No,2,0,0,0
Student_85,REG20260085,Information Technology,9.75,85.15,84.74,68,57.0,Good,No,1,1,0,1
Student_86,REG20260086,Information Technology,6.09,84.24,96.52,62,81.0,Good,No,0,3,0,0
Student_87,REG20260087,Mechanical Engineering,8.49,72.55,71.92,92,47.0,Good,No,0,2,0,0
Student_88,REG20260088,Electrical and Electronics Engineering,7.24,55.66,60.62,53,100.0,Average,Yes,0,1,0,1
Student_89,REG20260089,Artificial Intelligence and Data Science,7.34,80.07,83.88,54,100.0,Good,No,2,0,2,0
Student_90,REG20260090,Electronics and Communication Engineering,8.59,65.88,86.36,88,50.0,Excellent,Yes,0,1,3,0
Student_91,REG20260091,Computer Science and Engineering,8.48,74.36,79.73,72,62.0,Good,No,3,1,0,0
Student_92,REG20260092,Mechanical Engineering,9.76,96.18,63.89,64,69.0,Good,No,3,3,0,1
Student_93,REG20260093,Civil Engineering,6.05,72.16,76.69,60,75.0,Poor,No,0,3,0,0
Student_94,REG20260094,Electrical and Electronics Engineering,5.95,91.11,68.42,56,65.0,Good,No,0,0,0,0
Student_95,REG20260095,Civil Engineering,8.61,63.11,73.38,62,66.0,Good,,2,1,0,0
Student_96,REG20260096,Electronics and Communication Engineering,7.99,83.92,82.74,96,88.0,Good,No,0,1,0,1
Student_97,REG20260097,Electronics and Communication Engineering,6.68,97.01,87.04,82,93.0,Poor,No,0,1,0,0
Student_98,REG20260098,Electronics and Communication Engineering,5.84,59.38,64.99,56,75.0,Excellent,Yes,0,3,0,0
Student_99,REG20260099,Computer Science and Engineering,5.87,55.36,72.43,97,100.0,Good,No,1,1,0,1
Student_100,REG20260100,Computer Science and Engineering,9.35,73.64,66.57,53,88.0,Average,No,2,1,0,1
Student_101,REG20260101,Computer Science and Engineering,6.33,58.98,63.54,68,74.0,Average,No,0,1,0,0
Student_102,REG20260102,Electrical and Electronics Engineering,6.89,87.18,88.69,59,62.0,Average,Yes,0,2,3,0
Student_103,REG20260103,Information Technology,6.47,94.33,94.1,69,71.0,Good,No,3,2,0,0
Student_104,REG20260104,Electronics and Communication Engineering,7.03,73.66,70.92,58,99.0,Poor,No,2,1,1,0
Student_105,REG20260105,Artificial Intelligence and Data Science,5.8,66.12,87.3,92,89.0,Average,Yes,1,1,1,0
Student_106,REG20260106,Computer Science and Engineering,7.73,73.68,93.57,78,38.0,Good,No,2,1,3,0
Student_107,REG20260107,Electronics and Communication Engineering,5.79,86.11,91.38,95,44.0,Average,,1,4,1,0
Student_108,REG20260108,Civil Engineering,8.94,55.39,62.86,52,81.0,Average,No,2,1,0,1
Student_109,REG20260109,Computer Science and Engineering,6.5,80.35,96.12,57,48.0,Good,No,0,1,1,0
Student_110,REG20260110,Computer Science and Engineering,7.82,81.37,71.2,62,72.0,Good,No,0,1,0,0
Student_111,REG20260111,Information Technology,9.28,82.42,69.59,85,46.0,Good,Yes,1,2,0,1
Student_112,REG20260112,Computer Science and Engineering,8.3,65.41,57.68,72,79.0,Average,No,1,1,3,0
Student_113,REG20260113,Artificial Intelligence and Data Science,7.79,85.7,75.91,78,51.0,Good,Yes,4,0,1,0
Student_114,REG20260114,Civil Engineering,6.89,58.93,59.69,79,69.0,Good,No,0,2,3,0
Student_115,REG20260115,Electrical and Electronics Engineering,6.93,63.57,65.69,57,100.0,Average,Yes,3,2,1,0
Student_116,REG20260116,Artificial Intelligence and Data Science,8.38,92.73,68.63,48,75.0,Average,Yes,3,2,1,0
Student_117,REG20260117,Civil Engineering,9.77,86.77,89.78,72,63.0,Average,No,0,3,1,0
Student_118,REG20260118,Computer Science and Engineering,8.35,55.59,92.65,71,52.0,Average,Yes,2,1,1,0
Student_119,REG20260119,Artificial Intelligence and Data Science,7.9,65.68,68.01,100,54.0,Good,Yes,1,0,0,1
Student_120,REG20260120,Electronics and Communication Engineering,8.64,64.22,91.92,93,48.0,Good,No,3,4,2,0
Student_121,REG20260121,Civil Engineering,7.5,66.64,91.86,56,68.0,Average,Yes,1,1,1,0
Student_122,REG20260122,Artificial Intelligence and Data Science,5.76,65.65,87.88,58,83.0,Average,Yes,1,2,1,0
Student_123,REG20260123,Information Technology,7.92,57.69,61.31,66,88.0,Average,No,1,2,0,1
Student_124,REG20260124,Computer Science and Engineering,9.62,74.73,84.68,45,65.0,Good,No,0,1,0,1
Student_125,REG20260125,Computer Science and Engineering,6.25,86.51,95.64,74,92.0,Average,No,0,1,0,0
Student_126,REG20260126,Electronics and Communication Engineering,8.47,81.09,84.35,95,76.0,Good,No,1,2,2,0
Student_127,REG20260127,Civil Engineering,6.36,83.93,69.26,76,92.0,Average,No,2,2,0,0
Student_128,REG20260128,Artificial Intelligence and Data Science,7.8,58.49,76.52,73,64.0,Good,No,1,2,0,0
Student_129,REG20260129,Computer Science and Engineering,5.92,95.91,82.77,59,59.0,Excellent,No,1,1,0,0
Student_130,REG20260130,Electronics and Communication Engineering,7.44,91.06,76.95,64,97.0,Average,Yes,0,0,1,1
Student_131,REG20260131,Electronics and Communication Engineering,8.75,89.62,60.16,43,53.0,Good,No,1,0,1,0
Student_132,REG20260132,Computer Science and Engineering,,90.39,68.42,49,42.0,Excellent,No,0,1,1,0
Student_133,REG20260133,Computer Science and Engineering,8.36,95.11,89.5,49,37.0,Average,No,2,1,0,0
Student_134,REG20260134,Information Technology,8.92,78.4,92.04,63,51.0,Good,Yes,4,4,0,1
Student_135,REG20260135,Artificial Intelligence and Data Science,9.49,63.61,60.9,60,48.0,Poor,Yes,1,2,0,1
Student_136,REG20260136,Information Technology,6.51,81.52,95.95,50,43.0,,No,0,2,0,0
Student_137,REG20260137,Electronics and Communication Engineering,7.22,86.94,69.14,66,96.0,Poor,Yes,0,1,1,0
Student_138,REG20260138,Mechanical Engineering,,86.73,83.48,55,55.0,Excellent,No,1,0,0,0
Student_139,REG20260139,Information Technology,9.77,77.42,87.33,65,71.0,Good,No,1,4,0,1
Student_140,REG20260140,Other,9.49,57.94,89.91,100,45.0,Good,No,2,1,0,1
Student_141,REG20260141,Other,7.82,70.96,95.67,100,54.0,Good,Yes,0,0,0,1
Student_142,REG20260142,Information Technology,9.12,94.59,68.46,69,69.0,Good,No,2,1,2,0
Student_143,REG20260143,Electronics and Communication Engineering,7.74,80.13,91.92,88,87.0,Average,No,1,3,0,1
Student_144,REG20260144,Information Technology,8.18,78.15,60.66,55,81.0,Excellent,No,0,3,1,0
Student_145,REG20260145,Information Technology,5.88,66.56,85.32,46,86.0,Excellent,Yes,1,0,0,0
Student_146,REG20260146,Computer Science and Engineering,8.75,70.84,86.91,55,42.0,Good,Yes,0,3,0,0
Student_147,REG20260147,Electrical and Electronics Engineering,6.05,93.5,84.14,74,38.0,Excellent,No,1,1,0,0
Student_148,REG20260148,Electronics and Communication Engineering,9.05,83.66,65.85,97,61.0,Good,Yes,2,0,0,1
Student_149,REG20260149,Computer Science and Engineering,8.86,88.86,92.54,55,78.0,Good,No,1,3,1,0
Student_150,REG20260150,Information Technology,8.55,74.54,62.26,79,74.0,Good,No,2,3,0,1
Student_151,REG20260151,Artificial Intelligence and Data Science,5.66,82.1,57.31,51,81.0,Average,No,1,2,0,0
Student_152,REG20260152,Computer Science and Engineering,6.8,65.68,85.85,74,78.0,Poor,No,0,2,0,0
Student_153,REG20260153,Computer Science and Engineering,6.63,85.33,75.45,88,82.0,Average,Yes,1,2,0,1
Student_154,REG20260154,Electronics and Communication Engineering,7.05,73.39,91.51,60,86.0,Good,Yes,1,2,1,0
Student_155,REG20260155,Other,5.88,74.03,71.49,89,45.0,Average,Yes,0,3,0,0
Student_156,REG20260156,Computer Science and Engineering,9.53,82.92,62.24,82,38.0,Average,No,0,2,0,1
Student_157,REG20260157,Mechanical Engineering,7.88,95.26,90.97,75,82.0,,No,1,4,1,1
Student_158,REG20260158,Civil Engineering,6.81,57.75,78.6,87,60.0,Average,Yes,0,5,0,0
Student_159,REG20260159,Computer Science and Engineering,7.21,90.46,63.14,56,73.0,Good,No,0,0,0,0
Student_160,REG20260160,Mechanical Engineering,7.42,67.57,85.98,71,92.0,Average,No,1,3,0,0
Student_161,REG20260161,Information Technology,8.08,74.09,76.98,80,53.0,Poor,No,0,1,0,0
Student_162,REG20260162,Electrical and Electronics Engineering,7.72,55.94,80.99,45,92.0,Good,Yes,3,1,1,1
Student_163,REG20260163,Electrical and Electronics Engineering,9.45,67.94,74.82,63,62.0,Good,Yes,0,2,0,1
Student_164,REG20260164,Electronics and Communication Engineering,7.64,76.61,90.63,66,100.0,Good,Yes,2,0,3,0
Student_165,REG20260165,Computer Science and Engineering,9.77,57.42,90.67,59,44.0,Average,No,1,1,0,1
Student_166,REG20260166,Artificial Intelligence and Data Science,9.16,76.12,85.5,64,92.0,Good,Yes,1,3,3,0
Student_167,REG20260167,Information Technology,6.4,94.87,59.53,41,48.0,Average,No,0,1,0,0
Student_168,REG20260168,Computer Science and Engineering,9.5,59.53,91.07,48,49.0,Average,No,3,1,0,0
Student_169,REG20260169,Computer Science and Engineering,6.0,87.87,83.85,67,67.0,Poor,No,1,3,0,0
Student_170,REG20260170,Electrical and Electronics Engineering,9.02,72.62,84.97,92,51.0,Average,No,2,1,0,1
Student_171,REG20260171,Mechanical Engineering,7.14,83.17,70.61,100,58.0,Average,,0,1,1,1
Student_172,REG20260172,Computer Science and Engineering,9.28,66.19,92.81,77,64.0,Average,No,0,1,1,0
Student_173,REG20260173,Electronics and Communication Engineering,9.23,61.86,86.19,42,96.0,Excellent,No,1,1,0,1
Student_174,REG20260174,Computer Science and Engineering,8.97,61.9,59.84,59,47.0,Average,No,0,2,0,0
Student_175,REG20260175,Electrical and Electronics Engineering,8.9,58.03,72.53,45,96.0,Average,No,1,2,0,1
Student_176,REG20260176,Computer Science and Engineering,6.81,62.98,93.11,78,81.0,Average,No,0,1,4,0
Student_177,REG20260177,Mechanical Engineering,5.85,83.56,57.03,72,50.0,Good,Yes,1,2,2,0
Student_178,REG20260178,Information Technology,7.23,92.91,96.34,94,100.0,Poor,Yes,4,1,0,1
Student_179,REG20260179,Artificial Intelligence and Data Science,6.25,90.01,84.2,40,77.0,Excellent,Yes,1,1,1,0
Student_180,REG20260180,Computer Science and Engineering,8.49,84.46,82.15,76,42.0,Excellent,No,2,2,2,0
Student_181,REG20260181,Information Technology,6.99,59.75,66.63,45,37.0,Average,Yes,1,2,0,0
Student_182,REG20260182,Computer Science and Engineering,9.7,67.44,65.7,84,46.0,Good,No,1,2,1,0
Student_183,REG20260183,Artificial Intelligence and Data Science,8.26,68.32,95.51,73,50.0,Poor,No,3,0,0,1
Student_184,REG20260184,Artificial Intelligence and Data Science,9.04,65.75,67.83,86,93.0,Good,No,2,0,0,1
Student_185,REG20260185,Information Technology,6.07,77.15,88.35,54,83.0,Average,No,2,1,0,0
Student_186,REG20260186,Mechanical Engineering,9.21,78.03,71.9,84,97.0,Average,No,0,1,0,1
Student_187,REG20260187,Civil Engineering,9.47,70.35,60.99,65,96.0,Average,Yes,1,2,0,1
Student_188,REG20260188,Electrical and Electronics Engineering,7.59,70.21,55.46,96,83.0,Good,Yes,0,0,0,1
Student_189,REG20260189,Electronics and Communication Engineering,8.11,90.63,78.4,53,85.0,Average,No,1,2,1,0
Student_190,REG20260190,Computer Science and Engineering,8.79,88.94,96.96,97,67.0,Average,Yes,1,1,0,1
Student_191,REG20260191,Computer Science and Engineering,6.25,68.24,70.87,93,64.0,Good,Yes,2,1,0,1
Student_192,REG20260192,Artificial Intelligence and Data Science,7.66,94.29,70.36,46,93.0,Good,No,2,1,2,0
Student_193,REG20260193,Artificial Intelligence and Data Science,7.21,95.97,69.8,85,49.0,Excellent,Yes,1,1,0,1
Student_194,REG20260194,Electrical and Electronics Engineering,6.13,69.05,77.38,97,57.0,Average,No,0,3,0,0
Student_195,REG20260195,Information Technology,7.08,70.24,73.95,70,79.0,Good,No,2,0,3,0
Student_196,REG20260196,Information Technology,5.79,76.74,92.84,63,96.0,Good,No,0,1,2,0
Student_197,REG20260197,Mechanical Engineering,5.61,95.47,76.74,98,49.0,Average,No,1,3,0,0
Student_198,REG20260198,Artificial Intelligence and Data Science,6.08,92.68,76.83,70,80.0,Good,No,0,2,0,0
Student_199,REG20260199,Artificial Intelligence and Data Science,9.64,59.41,60.95,68,98.0,Average,Yes,0,1,3,0
Student_200,REG20260200,Civil Engineering,7.86,71.89,97.26,81,80.0,Excellent,Yes,4,1,0,1
Student_201,REG20260201,Electrical and Electronics Engineering,9.65,78.79,65.75,71,90.0,Average,No,0,2,0,1
Student_202,REG20260202,Computer Science and Engineering,7.36,76.63,58.15,56,78.0,Good,No,1,4,0,0
Student_203,REG20260203,Computer Science and Engineering,6.84,63.34,83.52,53,63.0,Average,No,0,3,0,0
Student_204,REG20260204,Artificial Intelligence and Data Science,7.68,91.93,80.6,79,96.0,Excellent,No,3,1,1,1
Student_205,REG20260205,Electrical and Electronics Engineering,7.39,84.11,72.85,75,86.0,Average,Yes,2,5,1,0
Student_206,REG20260206,Computer Science and Engineering,5.95,91.03,73.15,97,88.0,Excellent,No,0,0,3,0
Student_207,REG20260207,Computer Science and Engineering,8.26,91.93,88.76,87,91.0,Excellent,No,0,0,1,1
Student_208,REG20260208,Mechanical Engineering,6.43,87.18,63.42,63,100.0,Average,No,1,2,0,0
Student_209,REG20260209,Computer Science and Engineering,8.16,73.89,90.27,84,56.0,Good,No,0,0,0,1
Student_210,REG20260210,Computer Science and Engineering,8.3,81.25,82.9,93,,Excellent,No,1,0,3,0
Student_211,REG20260211,Electronics and Communication Engineering,6.15,61.9,73.02,66,67.0,Average,No,0,1,0,0
Student_212,REG20260212,Mechanical Engineering,5.76,83.97,74.7,64,59.0,Average,No,0,1,0,0
Student_213,REG20260213,Mechanical Engineering,8.86,62.71,66.04,98,80.0,Good,Yes,1,2,2,0
Student_214,REG20260214,Computer Science and Engineering,7.48,84.84,87.34,71,91.0,Average,No,0,2,0,1
Student_215,REG20260215,Mechanical Engineering,5.75,64.87,77.05,91,39.0,Poor,Yes,2,1,0,0
Student_216,REG20260216,Computer Science and Engineering,9.78,60.05,68.8,57,89.0,Average,Yes,0,1,2,0
Student_217,REG20260217,Information Technology,5.75,62.11,80.63,85,95.0,Average,No,0,3,4,0
Student_218,REG20260218,Mechanical Engineering,8.49,55.09,97.82,57,42.0,Average,No,5,2,0,0
Student_219,REG20260219,Electrical and Electronics Engineering,9.73,85.91,73.72,76,50.0,Average,Yes,1,1,1,0
Student_220,REG20260220,Artificial Intelligence and Data Science,6.53,86.49,94.59,65,82.0,Excellent,No,1,4,0,1
Student_221,REG20260221,Mechanical Engineering,6.11,77.14,69.84,48,95.0,Good,Yes,0,2,0,1
Student_222,REG20260222,Electrical and Electronics Engineering,6.02,61.94,57.35,99,49.0,Poor,No,1,0,2,0
Student_223,REG20260223,Computer Science and Engineering,6.8,58.59,63.78,74,99.0,Good,No,1,0,3,0
Student_224,REG20260224,Information Technology,5.93,55.82,73.0,47,56.0,Good,No,0,0,0,0
Student_225,REG20260225,Information Technology,8.48,62.13,64.44,59,37.0,,No,2,2,0,0
Student_226,REG20260226,Computer Science and Engineering,5.77,93.31,55.01,93,88.0,Poor,,1,0,0,0
Student_227,REG20260227,Other,7.69,65.39,94.35,81,48.0,Average,No,0,1,0,0
Student_228,REG20260228,Information Technology,9.79,70.23,91.29,61,70.0,Excellent,No,1,0,0,1
Student_229,REG20260229,Artificial Intelligence and Data Science,9.0,59.53,86.92,58,44.0,Excellent,No,1,3,0,0
Student_230,REG20260230,Electrical and Electronics Engineering,8.15,64.56,62.22,69,83.0,Good,No,0,1,0,0
Student_231,REG20260231,Civil Engineering,6.82,77.33,60.18,92,99.0,Good,No,1,3,0,1
Student_232,REG20260232,Electronics and Communication Engineering,8.18,81.13,57.91,67,91.0,Poor,No,0,3,0,1
Student_233,REG20260233,Electrical and Electronics Engineering,7.77,65.55,86.13,74,61.0,Good,Yes,1,0,1,1
Student_234,REG20260234,Electronics and Communication Engineering,7.33,57.48,94.94,82,39.0,Average,Yes,2,1,0,0
Student_235,REG20260235,Computer Science and Engineering,6.06,71.81,73.51,50,91.0,Average,No,1,0,0,0
Student_236,REG20260236,Mechanical Engineering,9.31,65.07,60.12,70,49.0,Good,No,3,3,1,0
Student_237,REG20260237,Information Technology,7.43,64.44,77.03,88,,Average,No,0,1,1,0
Student_238,REG20260238,Computer Science and Engineering,6.34,96.27,70.0,87,54.0,Good,No,1,0,0,0
Student_239,REG20260239,Electrical and Electronics Engineering,7.08,81.5,71.12,78,71.0,Excellent,No,2,0,0,0
Student_240,REG20260240,Computer Science and Engineering,7.28,78.95,81.72,75,37.0,Average,Yes,1,1,1,0
Student_241,REG20260241,Artificial Intelligence and Data Science,9.06,72.88,85.9,69,75.0,Excellent,No,1,3,0,1
Student_242,REG20260242,Other,8.65,73.44,59.76,62,73.0,Excellent,No,0,2,1,0
Student_243,REG20260243,Artificial Intelligence and Data Science,8.81,78.26,56.53,58,60.0,Good,No,0,3,0,0
Student_244,REG20260244,Information Technology,5.55,84.95,97.76,51,36.0,Average,No,0,1,0,0
Student_245,REG20260245,Computer Science and Engineering,7.29,85.19,65.01,54,57.0,Average,Yes,5,0,0,0
Student_246,REG20260246,Artificial Intelligence and Data Science,7.57,62.38,57.31,70,57.0,Average,No,0,4,1,0
Student_247,REG20260247,Electronics and Communication Engineering,5.58,76.5,63.16,82,50.0,Average,No,2,0,2,0
Student_248,REG20260248,Other,6.62,72.71,56.68,76,43.0,Average,Yes,1,3,0,0
Student_249,REG20260249,Other,8.77,92.43,71.85,76,47.0,Excellent,No,0,1,0,0
Student_250,REG20260250,Artificial Intelligence and Data Science,6.09,82.15,89.5,54,62.0,Average,No,1,0,0,0
Student_251,REG20260251,Information Technology,7.8,77.9,69.67,68,61.0,Good,No,2,2,0,0
Student_252,REG20260252,Information Technology,6.43,59.96,74.1,89,85.0,Poor,Yes,2,4,2,0
Student_253,REG20260253,Artificial Intelligence and Data Science,5.55,81.04,84.05,82,98.0,Good,No,0,4,0,0
Student_254,REG20260254,Information Technology,6.54,60.04,76.88,65,86.0,Excellent,No,0,0,2,0
Student_255,REG20260255,Computer Science and Engineering,9.7,69.5,92.04,83,72.0,Average,No,0,0,0,1
Student_256,REG20260256,Electrical and Electronics Engineering,8.95,61.14,92.24,41,99.0,Average,No,0,2,2,0
Student_257,REG20260257,Artificial Intelligence and Data Science,9.63,84.76,55.43,59,52.0,Good,No,1,2,1,0
Student_258,REG20260258,Mechanical Engineering,7.6,63.87,88.46,54,97.0,Good,No,2,2,0,1
Student_259,REG20260259,Electrical and Electronics Engineering,5.97,71.85,74.81,91,85.0,Good,No,0,0,0,0
